title,author,length
Make Your Bed,William H. McRaven,Length: 1 hr and 53 mins
The Compound Effect,Darren Hardy,Length: 4 hrs and 44 mins
No More Mr. Nice Guy,Dr Robert Glover,Length: 6 hrs and 49 mins
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins
The Millionaire Next Door,"Thomas J. Stanley Ph.D.,William D. Danko Ph.D.",Length: 8 hrs and 16 mins
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins
A Gentleman in Moscow,Amor Towles,Length: 17 hrs and 52 mins
Ender's Game,Orson Scott Card,Length: 11 hrs and 57 mins
Twilight,Stephenie Meyer,Length: 12 hrs and 51 mins
World War Z: The Complete Edition,Max Brooks,Length: 12 hrs and 9 mins
The Art of War,Sun Tzu,Length: 1 hr and 7 mins
The 48 Laws of Power,Robert Greene,Length: 9 hrs and 52 mins
Dracula [Audible Edition],Bram Stoker,Length: 15 hrs and 27 mins
Artemis,Andy Weir,Length: 8 hrs and 57 mins
Outwitting the Devil,"Napoleon Hill,Sharon L. Lechter - editor",Length: 5 hrs and 51 mins
The Two Towers,J. R. R. Tolkien,Length: 16 hrs and 40 mins
The Sea of Monsters,Rick Riordan,Length: 7 hrs and 55 mins
Star Wars: Heir to the Empire,Timothy Zahn,Length: 13 hrs and 9 mins
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
True Believer,Jack Carr,Length: 15 hrs and 44 mins
As a Man Thinketh,James Allen,Length: 55 mins
Unbroken Bonds of Battle,Johnny Joey Jones,Length: 8 hrs and 30 mins
A Storm of Swords,George R.R. Martin,Length: 47 hrs and 34 mins
SpecOps,Craig Alanson,Length: 15 hrs and 50 mins
Blood of Elves,Andrzej Sapkowski,Length: 10 hrs and 55 mins
The Book on Rental Property Investing,Brandon Turner,Length: 11 hrs and 38 mins
Leviathan Wakes,James S. A. Corey,Length: 20 hrs and 56 mins
The ONE Thing,"Gary Keller,Jay Papasan",Length: 5 hrs and 28 mins
The Intelligent Investor Rev Ed.,Benjamin Graham,Length: 17 hrs and 48 mins
Grit,Angela Duckworth,Length: 9 hrs and 22 mins
The Wishing Game,Meg Shaffer,Length: 10 hrs and 38 mins
The Ritual,Shantel Tessier,Length: 16 hrs and 46 mins
The Alloy of Law,Brandon Sanderson,Length: 10 hrs and 48 mins
The Daddy Diaries,Andy Cohen,Length: 10 hrs and 32 mins
Beyond the Story,"BTS,Myeongseok Kang,Anton Hur - translator,Slin Jung - translator,Clare Richards - translator",Length: 11 hrs and 18 mins
